timestamp_utc,latitude,longitude,rainfall_mm_hr,rainfall_status,source_file,dataset,version
2015-11-30T14:30:00Z,13.049999237060547,80.25,0.98,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S143000-E145959.0870.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T15:00:00Z,13.049999237060547,80.25,2.6,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S150000-E152959.0900.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T15:30:00Z,13.049999237060547,80.25,3.86,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S153000-E155959.0930.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T16:00:00Z,13.049999237060547,80.25,3.4,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S160000-E162959.0960.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T16:30:00Z,13.049999237060547,80.25,3.58,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S163000-E165959.0990.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T17:00:00Z,13.049999237060547,80.25,0.55,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S170000-E172959.1020.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T17:30:00Z,13.049999237060547,80.25,2.51,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S173000-E175959.1050.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T18:00:00Z,13.049999237060547,80.25,2.93,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S180000-E182959.1080.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T18:30:00Z,13.049999237060547,80.25,2.64,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S183000-E185959.1110.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T19:00:00Z,13.049999237060547,80.25,2.2,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S190000-E192959.1140.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T19:30:00Z,13.049999237060547,80.25,1.68,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S193000-E195959.1170.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T20:00:00Z,13.049999237060547,80.25,1.83,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S200000-E202959.1200.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T20:30:00Z,13.049999237060547,80.25,2.4,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S203000-E205959.1230.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T21:00:00Z,13.049999237060547,80.25,1.47,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S210000-E212959.1260.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T21:30:00Z,13.049999237060547,80.25,0.68,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S213000-E215959.1290.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T22:00:00Z,13.049999237060547,80.25,1.73,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S220000-E222959.1320.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T22:30:00Z,13.049999237060547,80.25,1.27,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S223000-E225959.1350.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T23:00:00Z,13.049999237060547,80.25,1.29,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S230000-E232959.1380.V07B.HDF5,GPM_3IMERGHH,V07B
2015-11-30T23:30:00Z,13.049999237060547,80.25,0.48,VALID,3B-HHR.MS.MRG.3IMERG.20151130-S233000-E235959.1410.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T00:00:00Z,13.049999237060547,80.25,2.02,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S000000-E002959.0000.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T00:30:00Z,13.049999237060547,80.25,2.47,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S003000-E005959.0030.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T01:00:00Z,13.049999237060547,80.25,2.81,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S010000-E012959.0060.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T01:30:00Z,13.049999237060547,80.25,3.63,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S013000-E015959.0090.V07B.HDF5,GPM_3IMERGHH,V07B
2015-12-01T02:00:00Z,13.049999237060547,80.25,3.69,VALID,3B-HHR.MS.MRG.3IMERG.20151201-S020000-E022959.0120.V07B.HDF5,GPM_3IMERGHH,V07B
